Start Time,Text
00:03:06,그래서 첨엔 레즈비언 친구에게 대리모가 되달라고 물어봤는데
00:03:10,안그래도 성질 드럽던 친군데 임신까지 하면 어떻게 되겠어요?
00:03:13,- 사양하겠습니다 - 그렇죠
00:03:16,너도 봤지?
00:03:18,네가 들어오기 전까진 다들 아이보고 좋아하더니
00:03:20,갑자기 기내 쇼핑몰 책자를 보면서 '오 면세품이나 좀 사볼까?' 이러잖아
00:03:24,"- 사람들 한테 한 마디 해야겠어 - 아니, 그러지마"
00:03:27,"이 사람들이랑 앞으로 5시간동안 같이 있어야 된다고 / 그래, 니 말이 맞아"
00:03:30,"알았어, 미안해"
00:03:31,"여보, 저 *크림 퍼프랑 애기 좀 봐봐 (여자같은 남자를 비하하는 말)"
00:03:33,"좋아, 실례합니다"
00:03:35,이 아이는 우리가 아녔음 고아로 자랄 뻔 했어요
00:03:39,크림 퍼프 라니...여러분들 잘 들으세요 / 미첼
00:03:41,"사랑엔 인종도, 국경도 성별도 없어요"
00:03:45,부끄러운 줄 아세요
00:03:47,- 미첼 - 편협하고 무식한 당신들의..
00:03:50,진짜 크림퍼프 빵을 말하는거였어
00:03:59,저희가 여러분의 헤드셋 대여료를 내 드리겠습니다
00:04:15,"아들아, 왜 맨날 여기에 머리를 넣니?"
00:04:18,이번엔 빠져나올 줄 알았어요
00:04:20,이 말은 해야겠어요
00:04:21,쟤는 어디 바보 전문의 한테 데리고 가봐야 해요
00:04:25,"됐어, 넌 이제 자유야 엑스칼리버"
00:04:28,- 오늘 친구 울집에 오기로 했어요 - 친구 누구?
00:04:30,엄마는 걔 몰라요
00:04:32,걔 라니? 남자애야?
00:04:35,"남자구나, 키스 할거야?"
00:04:37,"- 시끄러! - 그만해, 그만해"
00:04:40,"- 루크, 알렉스. 밖에 좀 나가있을래? - 밖에서 뭐해요?"
00:04:46,태양아래에서 싸워봐 새로운 시도 일거야
00:04:48,어떤 애야?
00:04:50,이름은 딜란 이고요
00:04:53,"그냥 안 부를래요 엄마, 아빠가 또 창피 줄까봐서요"
00:04:55,"얘야, 잠깐 있어봐"
00:04:58,15년동안 남자 애를 집에 초대한건 처음이자나?
00:05:01,"뭐, 좀 놀라긴 했다만"
00:05:04,- 널 창피하게 하진 않을거야 - 캠코더 충전하러 가봐야지
00:05:08,"농담이야, 아빠 원래 이러자나"
00:05:11,제가 좀 쿨한 아빠에요
00:05:20,그리고 하이스쿨 뮤지컬 춤도 다 외웠어요
00:05:32,엄마
00:05:34,루크가 나한테 총 쐇어요
00:05:37,- 고의가 아녔어요 - 괜찮니?
00:05:39,아뇨! 이 병신이 날 쐇다구요
00:05:42,말 조심해
00:05:43,비비탄인데 뭘 그래
00:05:45,사고였어요
00:05:46,쟤 한테 총사주면 어떻게 된다고 내가 그랬어?
00:05:49,뭐라고 좀 혼내봐
00:05:50,"아들아, 쿨하지 못해"
00:05:55,"아니, 아니. 저 총 사줄때 동의 한거 말야"
00:06:00,만약 누굴 쏘면 당신이 쟤를 쏘겠다고 했었잖아
00:06:01,진심이야?
00:06:04,그땐 진심이었잖아 이제 당신이 해결해
00:06:07,- 정말 죄송해요 - 거짓울음 짓지마
00:06:11,- 지금 - 생일파티에 간다고 했는데?
00:06:12,"뭐가 더 중요해요, 아빠?"
00:06:14,나중에 2시에 집에와서 그때 해
00:06:16,2시엔 안돼. 고객한테 집 보여 줘야해
00:06:17,3시는 어때요?
00:06:19,"안돼, 3시에 루크 축구게임이 있고.."
00:06:22,5시에는 저녁 약속이 있고..
00:06:26,"- 4시15분, 그때 쏘면 되겠다 - 음, 그땐 시간 되겠어"
00:06:29,"- ""루크 쏘기"" - 아들아 미안, 이미 달력에 적힌 일이야"
00:06:32,말도 안돼
00:06:36,나 축구 그만할래요 완전 애들 놀이에요
00:06:38,"안돼, 그만둘 수 없어"
00:06:41,아까 그 여자애 안 쳐다봤으면 한 골 막을 수 있었어
00:06:43,여자애 가 아니라 여자에요
00:06:50,"글로리아, 다른 엄마들 한테 그렇게 소리 지르면 어떡해  - 누가 내 가족에게 뭐라고 하면... - 내 말은 좀.."
00:06:55,성질 좀 가라 앉히라고  당신은 그럴 수 있겠지만 전 그렇겐 못살아요
00:06:58,매번 그렇게 감정적으로 대응할 필요가 없다고
00:07:01,"매니, 너도 그렇게 생각하지?"
00:07:03,"브렌다 펠먼 한테 사랑한다고 말하고 싶어요 / 오, 갓"
00:07:06,"매니, 걔는 16살 이야"
00:07:07,엄마가 늙은 남자 만나는건 괜찮고요?
00:07:09,- 말 조심해 - 그녀가 일하는 가게에 가고 싶어요
00:07:12,먼저 내 하얀 셔츠를 입어야 겠어요 실크로 된거요
00:07:16,정말 하고싶은거야?
00:07:18,제발 날 나쁜 양아버지로 만들지마
00:07:20,만약 흰 셔츠 차림으로 16살 소녀에게 고백을 한다면
00:07:23,애들이 널 흰 팬티 차림으로 학교 국기게양대에 걸거야
00:07:27,- 차세워요 - 어디가니?
00:07:34,"- 아이한테 상처를 줬잖아요 - 괜찮아, 가끔씩 강하게 키워야해"
00:07:38,"오, 꽃을 꺽고 있잖아.."
00:07:41,매니는 아주 정열적이에요 지 아버지를 닮아서말이죠
00:07:44,제 첫 남편은 아주 잘 생겼지만 심하게 미쳤었죠
00:07:48,우리가 한거라곤 그저 싸우고 섹스하고
00:07:50,"싸우고 하고, 싸우고 하고"
00:07:53,"농담안하고, 한번은 진짜 창 밖으로 떨어지기도 했어요"
00:07:58,싸움 하다가? 섹스 하다가?
00:08:04,걱정되지 않아?
00:08:06,비행기에서도 거의 안자고 아직도 잘 생각을 안해
00:08:08,걱정 좀 그만해
00:08:11,혹시 고아원에 전부 여자만 있어서
00:08:13,여자의 품에 안겨야만 잠 들수 있는것 아닐까?
00:08:16,"뭐, 그럴수도 있겠네"
00:08:18,그니까 받어
00:08:20,이게 무슨 뜻이야
00:08:21,"맞아요, 애를 입양하려고 할때 몇 키로 찌긴 했어요"
00:08:26,참 힘들었죠
00:08:28,근데 알고보니까 엄마가 되서 본능적으로 몸이 푸근해진거였어요
00:08:32,몸에 영양분을 축적하는 거죠 분자생리학 뭐 이런건가봐요
00:08:37,그게 바로 과학이죠
00:08:38,과학을 거스를 수는 없어요
00:08:45,- 말도 안나온다 정말... - 그 말이 모든걸 표현하는구나
00:08:51,좋아
00:08:53,"와, 정말 좋지?"
00:08:56,응
00:08:58,저건 뭐야
00:08:59,우리가 집 비운사이 앙드레에게 시켰어
00:09:01,우리가 날개 달고 있는 그림이야?
00:09:04,아이를 지키 위해 방 전체를 떠돌고 있는거지
00:09:06,"아주 안심되지, 릴리?"
00:09:08,고향에서 먼곳으로 와서 좀 슬프지?
00:09:11,"하지만 걱정마, 네 아빠들이 요정이니까"
00:09:13,안드레 한테 연락해서 좀 덜 게이스러운 걸로 바꾸지?
00:09:17,그리고 이름이 앙드레 같은 친구들 좀 그만 만나야 겠어
00:09:20,- 아빠가 화났나 보구나 - 화 안났어
00:09:23,공항에서 동행한 '페퍼' 한테도 그랬어
00:09:26,"이름이 ""페퍼""인 사람도 그만 좀 만나야해"
00:09:28,왜 그러는거야?
00:09:33,나 아직 가족들에게 입양에 대해 말한했어
00:09:39,그래? / 응. 그리고 널 탓하지 않아
00:09:42,너희 가족을 알고있잖아 너가 말했다면
00:09:44,- 분명 뭔가 편견에 가득찬 말을 할거고 - 내 말이
00:09:46,- 그럼 넌 화가 날거고.. - 그래! 행복으로 들뜬 나의 마음이
00:09:48,갑자기 큰 싸움으로 바뀌어 버릴수도 있다고
00:09:51,누가 그런 극적인 상황을 원하겠어?
00:09:53,"고마워, 네가 정말 이해해 주길 바랬어"
00:09:57,너희 가족 모두 저녁에 초대했어
00:10:02,언제까지 피해다닐 수만 없잖아?
00:10:05,"안돼, 안돼, 캠 지금 전화해서 취소 할거야"
00:10:07,안돼. 오늘 밤 넌 가족들 에게 아이를 입양했다고 말하는거야
00:10:11,넌 너무 회피 하려는 경향이있어 롱기누스도 이렇게 말했을거야
00:10:14,우리 주변 사람들 이름은 다 왜 그런거야?
00:10:21,"열지마요, 내가 할게요"
00:10:30,"안녕, 네가 딜런 이구나"
00:10:32,- 네 딜런입니다 - 난 헤일리 엄마란다
00:10:35,"왔구나, 올라가자"
00:10:37,"그래, 잠깐 있어봐"
00:10:41,딜런
00:10:42,너 아직 고등학생 맞지?
00:10:44,네 졸업반 이에요 / 졸업반이라..
00:10:47,"필, 자기, 여보"
00:10:49,얘가 딜런이에요 졸업반 이래요
00:10:52,겁 좀 주는게 어때?
00:10:54,이봐 잠깐 볼까?
00:11:04,이렇게 하는거죠. 내리 깔아 보면서 눈으로 대화하는거죠
00:11:08,"입으로는 ""우린 괜찮아""하면서"
00:11:10,"눈으로는 ""안 괜찮아"""
00:11:12,"""만나서 반가워"""
00:11:23,- 인사들 나눴으니... - 잠깐 기다려봐
00:11:30,"똑바로 하는거야, 알겠나?"
00:11:33,잘 모르겠는데요
00:11:34,- 그만해요 좀 - 괜찮아
00:11:40,베이비 오일에 미끄러졌어
00:11:43,"""넌 어디서 왔니?"""
00:11:45,"""만약 우리가 신체적 마찰이 발생 한다면, 널 물리칠수 있어"""
00:11:49,정말 병원에 안가도 되겠어?
00:11:51,"아니, 아니, 괜찮아"
00:11:54,아주 힘이 센 아이구나
00:11:56,"- 감사합니다 - 그래, 좋아. 부드럽게 내려줘"
00:12:01,근데 등쪽으로 좀 눕혀줄래?
00:12:06,등쪽으로 눕혀준다면 좀 더 괜찮을텐데..
00:12:13,브렌다 펠먼
00:12:16,- 그게 뭐니? - 브렌다 펠먼을 위한 시를 썻어요
00:12:19,- 그렇겠지 - 그녀를 향한 내 감정을 글로 표현하고
00:12:22,그 글을 행동으로 표현할거에요
00:12:24,이거 안하면 50달러 줄께
00:12:29,"전 11살 이에요 그 돈으로 뭘 하겠어요?  그래, 11살이 16살짜리랑 뭐하는거니?"
00:12:32,마치 싸움 소 같군요
00:12:34,소싸움 본적 있어?
00:12:36,- 도저히 못봐주겠어 - 왜 그리 기분이 안좋아요?
00:12:39,알겠어요. 아까 그 남자가 당신보고 내 아버지라 해서 그렇죠?
00:12:42,아냐 / 맞아요
00:12:44,아냐
00:12:45,그런식으로 아니라고 말할땐 항상 맞다는 의미에요
00:12:47,쇼핑센터에 왔으니까 좀 젊은 취향 옷으로 몇 벌 사요
00:12:51,- 아까 저기 괜찮은.. - 난 젊은 옷 따위 필요없어
00:12:57,당연히 그래야죠
00:12:59,내 생각만 신경쓰면 되요
00:13:01,난 당신이 얼마나 늙었든 당신을 사랑해요
00:13:04,그러니 기분 풀고 매니한테도 좀 잘해줘요
00:13:07,"매니한테 그렇게 한건, 쟤가 바보처럼 보이는게 싫어서야"
00:13:12,그리고 헤어젤 냄새가 여기까지 나는군
00:13:15,저기서 무슨일이 일어나든
00:13:18,우린 이제 한 가족이에요
00:13:20,그게 의미하는건 오직 한가지 뿐이죠
00:13:22,"""얼굴에 침뱉는 자가 되지말고 뒤에서 바람이 되어 불어줘라"""
00:13:28,우리엄마가 항상 하던 말 이에요 스페인어로 하면 아주 좋게 들려요
00:13:32,저기 오네요
00:13:37,남자친구가 있대요
00:13:39,"오, 불쌍한 우리아들"
00:13:42,"내 마음을 줬더니, 그녀는 보안관 모습의 내 사진을 줬어요"
00:13:49,저 바보같은 짓을 했죠?
00:13:55,"아냐, 용감한 일이야 그렇죠? 제이?"
00:13:59,뭐...다음번엔 잘 할 수 있을거야 가서 프릿젤이나 사먹자
00:14:11,실례합니다. 노인 조깅회에서 나오신분은 오른쪽으로 붙어서 다녀 주세요
00:14:28,"알렉스, 당장 나가! 엄마!"
00:14:31,"- 알렉스, 언니 좀 내버려둬 - 내 책을 가져 갔어요"
00:14:34,그래도 사생활은 좀 존중해줘야지
00:14:39,- 위에서 뭐하고 있던데? - 침대에 누워서 영화봐요
00:14:46,오늘밤에 케익 만들건데
00:14:47,반죽 도와줄래?
00:14:49,그러죠
00:14:53,근데 만약 언니가 임신하면
00:14:55,몇 달동안 병에 걸린 척 사람들앞에 언니를 숨기고
00:14:58,엄마가 낳은 아기라고 남들한테 말해 줄 거에요? / 뭐?  우리학교 3학년 선배가 있는데 아파서 4개월동안 안나왔거든요
00:15:01,근데 제나 레즈닉이 그 언니가 모유 수유하는 거 세차장에서 봤대요
00:15:10,아들아
00:15:12,- 뭘 그리 껴입었니? - 뭐가요
00:15:15,자켓은 안돼 모자도 하나만 써
00:15:17,속옷은 몇개나 입은거야?
00:15:20,하나요
00:15:22,여섯개요
00:15:24,"먼저, 뚱뚱해진 언니를 보는게 너무 좋고"
00:15:26,남동생이 알고보면 조카라는게 얼마나 멋져요?
00:15:30,헤일리는 임신 안 할거야
00:15:33,- 만약에 라고 했자나요 - 알어
00:15:35,"항상 언니를 놀리고 싶어하는거 알지만, 이번엔 안돼"
00:15:39,네 언니는 착한 아이야
00:15:41,마치 엄마의 어린시절과 똑 같...
00:15:46,이것만은 알아주길 바란다
00:15:47,아빠는 이걸 즐기는게 아냐 너에게 가르침을 주려고 하는거야
00:15:51,이것만 기억해..
00:15:56,"너무 가까워요, 아플거에요"
00:15:58,아프라고 하는거야
00:16:00,미소는 왜 짓고 있어요? / 응?
00:16:15,"오, 관두자 못하겠어"
00:16:21,네가 겁만 먹으면 되는거 였으니 이미 가르침은 준것 같구나
00:16:25,엄마?
00:16:28,- 뭐하세요? - 빨래 놔두러 왔어
00:16:30,들어오면 안돼는 거였니?
00:16:32,- 당연하죠 - 알았어
00:16:36,문 좀 닫아 줄래요?
00:16:39,그냥 이 상태로 두는게 좋을것 같구나
00:16:43,- 왜요? - 왜냐면 이런 광경을 어디서 봤거든
00:16:46,키 큰 졸업반 학생이랑 침대에 누워서..
00:16:48,첨엔 그냥 친구로 시작해서 영화도 보고 이야기도 나누고 한 후에
00:16:51,어느 순간 식탁위에서 뒹굴고 네 속옷은 주머니안에 들어가 있겠지  워 / 엄마!
00:16:53,- 뼈에 맞았잖아요! - 사고였어
00:16:55,- 아빠는 내 친구 인줄 알았는데 - 난 네 친구란다
00:16:58,아빠! 엄마랑 이야기 좀 해봐요
00:17:01,혼자 열받아서 뭐라 그러는데 완전 창피해요
00:17:04,무슨 말이야? 네 엄마는 항상 그런일에 쿨한...
00:17:07,이거 대체 왜이래!
00:17:11,제 아버지는 아직 이런 상황에 완전히 적응을 못하셨어요
00:17:17,5년이나 지난 지금에도
00:17:19,방을 들락날락 하실때 일부러 큰소리로 알리세요
00:17:23,혹여라도 우리가 키스하는걸 볼까봐 그러시는거죠
00:17:27,우리 엄마도 좀 그러셨으면 좋으련만
00:17:29,- 기억하지? - 그 말 할 때가 아냐 지금은
00:17:32,네가 이런일을 계획했다니 아직도 못 믿겠어
00:17:34,그런 소리 좀 그만해 축하하는 자리 잖아
00:17:43,가서 릴리 데려 올테니까 맘 강하게 먹고 있어
00:17:47,넌 할 수 있어 운동선수 처럼 가슴 부딫히기
00:18:01,안녕? 잘 지냈어?
00:18:04,- 다들 어서와요 - 고마워요
00:18:11,고맙긴. 바로 오픈해 아빠도 곧 들어오실거야
00:18:14,"딩동, 우리 왔어, 들어간다"
00:18:16,걱정말고 들어와요 게이짓 안하고 있어요
00:18:20,"""다양한 색상의 보석박힌 모자"" 받아 드릴까요?"
00:18:22,"제이, 안녕하세요?"
00:18:24,"글로리아, 하이"
00:18:27,어떻게 지냈어요?
00:18:36,'고마워요'라는 말은 '만져봐요'랑 달라
00:18:40,"- 여행은 어땠어? - 좋았어요, 사실.."
00:18:43,여러분께 말씀드릴게 있어요
00:18:47,우린 베트남에 놀러간게 아니에요
00:18:49,"사실 빅 뉴스가 있어요  이런..캠이 가슴 달고 나타나면, 난 집에 갈거야"
00:18:51,- 아빠.. - 저러니까 엄마도 창피하죠?
00:18:55,"신경쓰지마, 헤일리가 오늘 첨으로 남자를 집에 초대 했는데"
00:18:57,필이 총으로 쏴버렸지
00:19:01,"어쨋든, 한 일년전에"
00:19:03,캠과 전 뭔가 더 원하는게 있었어요
00:19:08,"- 아기 라든가.. - 오, 그건 안좋은 생각이야"
00:19:10,- 무슨 뜻이에요? 안좋은 생각이라니.. - 애들은 엄마가 필요해
00:19:13,- 좀 지루하면 개를 길러 - 지루한게 아니에요
00:19:16,"난 널 응원한단다,미첼 넌 나의 또 다른 아들이야"
00:19:19,아빠가 말씀하시려는 건..
00:19:23,미첼 네 성격이 좀 깐깐해서 애들을 감당 못할수도 있단 말씀이야
00:19:27,그건 아닌것 같은데
00:19:29,누나는 다른의견으로 날 또 모욕하는구나
00:19:31,다들 좀 진정하세요
00:19:34,"- 캐머런삼촌은 어딨어요? - 고마워, 고마워"
00:19:37,날 모욕하지 않는 사람이 캠이 없는걸 알아차렸군요
00:19:41,그게 빅 뉴스였어?
00:19:43,너희 둘 헤어졌구나
00:19:44,그래도 아기가 어떻게 그 아픔을 덜어주겠어?
00:19:46,그리고 차라리 잘된거야
00:19:48,"그 녀석은 너무 요란한 구석이 있었어 / 아뇨, 아뇨"
00:19:51,다들 내 집에 와서 나와 내 남친을 모욕하고 계시네요
00:19:54,그건 그렇고 그는 그렇게 요란하지 않아요
00:20:13,우리가 아이를 입양했어요
00:20:15,이름은 릴리에요
00:20:17,- 신나죠? - 좀 조용히해
00:20:20,"- 뭘 조용해, 나 원래 이런사람이야 - 아니 음악 말야"
00:20:23,"아, 음악 다들 릴리에게 인사해요"
00:20:25,작은 공주님 너무 이쁘구나
00:20:30,너무 귀여워요
00:20:37,"""릴리""라..나중에 커서 자기이름 발음하기 좀 힘들지 않을까?"
00:20:42,아까 내가 이건 좋은 생각이 아니라고 했지만
00:20:46,하지만..
00:20:49,내가 뭘 알겠니?
00:20:50,내가 '아버지 교본'같은 책을 쓴 사람도 아니고
00:20:53,너희들에게 항상 잘 하고 싶었지만 여전히 엉망 이잖냐
00:20:58,아까 차에서 그녀에 대한 곡을 썼어요
00:21:00,그렇겠지
00:21:03,"어쨌든, 기쁘단다"
00:21:05,그리고...이건 알길 바란다
00:21:08,난 여기 네 얼굴에 침뱉으러 온게 아니라
00:21:10,뒤에서 불어줄려고 온거야
00:21:13,- 그게 무슨 뜻.. - 이해가 안되요
00:21:15,스페인어로 들으면 좀 그럴듯 할거야
00:21:23,"- 오, 아름다운 말 이군요 - 감사해요"
00:21:28,"어쨌거나, 미치..."
00:21:30,아빠 괜찮아요
00:21:33,내가 안을께
00:21:35,할아버지 만나볼래?
00:21:37,"당연하지, 이제 한 가족이야 어디 귀여운 얼굴 좀 보자꾸나"
00:21:43,"너 귀염둥이구나, 그렇지?"
00:21:49,우린 모두 다른 세계에서 왔어요
00:21:52,하지만 어떤 이유로 하나로 뭉치게 되었죠
00:21:54,'사랑'이 우릴 하나로 묶어줘요
00:21:57,비가오나 눈이오나..
00:22:00,저의 목표는 오직 하나에요
00:22:03,나의 마음은 브렌다 펠먼 당신거란걸 알려주는 것 입니다
00:22:12,루크는 지금까지 절 이긴적이 없어요
00:22:23,아들아 저기 저것 좀..
00:22:26,아랫동네 공기는 좀 어떠니?
00:22:27,하지만 언젠가 아들이 저와 실력이 비슷해지면
00:22:32,저를 이기게 되는 날이오면
00:22:33,"""자~알 하셨습니다""라고 말해 줄 겁니다"
00:22:36,격려 차원에서 이기게 해줄 겁니다
00:22:40,스코어는 한...
